P1; 1; 1; 7; 46
P2; 2; 2; 14; 49
P3; 1; 3; 10; 23
P4; 3; 4; 11; 51
P5; 1; 2; 20; 0
B101; 2; 5; 10; 0
B103; 1; 3; 8; 61
B105; 2; 2; 12; 66
B106; 2; 1; 10; 92
B102; 2; 1; 9; 185
B104; 3; 3; 14; 81
P1; 1; 1; 18; 46
P2; 2; 2; 20; 0
P3; 1; 1; 10; 46
P4; 1; 4; 11; 17
P5; 1; 2; 9; 33
B101; 3; 1; 10; 137
B103; 2; 3; 7; 39
B105; 1; 2; 13; 66
B106; 2; 5; 11; 0
B102; 3; 5; 7; 0
B104; 4; 5; 12; 0
P1; 2; 1; 7; 78
P2; 4; 2; 14; 144
P3; 1; 5; 10; 0
P4; 4; 2; 11; 144
P5; 1; 2; 7; 24
B101; 1; 2; 11; 66
B103; 2; 3; 9; 53
B105; 3; 5; 12; 0
B106; 2; 3; 17; 39
B102; 1; 5; 14; 0
B104; 3; 2; 15; 86
P1; 4; 3; 11; 115
P2; 1; 4; 12; 20
P3; 1; 3; 13; 23
P4; 1; 5; 11; 0
P5; 2; 2; 12; 56
B101; 3; 1; 10; 137
B103; 2; 1; 7; 92
B105; 4; 2; 13; 144
B106; 2; 4; 11; 35
B102; 1; 2; 7; 98
B104; 4; 1; 12; 230
